,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
1656,1.0,6.349880960991005e-05,0.013476294420732839,0.0062297879094498345,0.015602795910114957,0.0005410665628649279,1.0282215879414963e-05,0.046236852888949596,5.24592042338807e-06,0.00240758942869449,0.1837551945598791,0.8536768854617266,0.002610977419396951,0.20570567824093955,0.27131808230271776,0.6843598987497125
1657,1.0,0.0005072675862748137,0.015611373083565805,0.00869987897545781,0.0368479579458148,0.0003636304658103023,1.3177208699832768e-05,0.028069935801120067,7.828232287730414e-07,0.002352369487669387,0.22508500188893085,0.8275343238668422,0.003781565629093251,0.5723809724145387,0.4653595182677375,0.6056608115363964
1658,1.0,1.3773367604884167e-05,0.008970391168243752,8.928039997619188e-05,0.007997804863959332,0.00018651874918904893,5.1910216090250305e-06,0.06734052725037563,2.2581298761374977e-05,0.0022529735938242013,0.1517944843218738,0.86289260861388,0.002493483435524089,0.540357526326092,0.38158960401948666,0.6262176881184324
1660,1.0,2.6007912314017714e-05,0.009228326339269503,6.94403110925937e-05,0.019747559355323203,0.00011716621253405994,7.686705074902448e-06,0.08735145471930064,6.246509180445235e-05,0.002462809369719593,0.23672081601813375,0.7965017867218357,0.004817253338787375,0.7933413328309277,0.32698453653550696,0.5979903351998159
1661,1.0,2.0388194073329403e-05,0.00914296431682211,0.007995555820090075,0.009441973311767084,0.00023387829246139874,6.139381326058449e-06,0.052520147520830486,8.555335310021358e-06,0.0026395131809999225,0.11847374386097469,0.8666541282678203,0.0022019242903580957,0.6793777585919921,0.5959985478432165,0.6214619927897523
1662,1.0,0.001442393857677766,0.02724449115958846,0.00014880066662698648,0.042119172780313095,0.001026988452056572,1.4325223094136381e-05,0.016527796749077995,1.0961352094838385e-07,0.0022308856174141603,0.19962221382697393,0.8469061500846342,0.0028024490968193948,0.0796335656967902,0.3819512471548127,0.6320472501342332
1663,1.0,1.7702309478778885e-05,0.008998238669718023,0.0021328095549868063,0.020184420310785052,9.861165174516673e-05,5.889812979470707e-06,0.08837590493102035,6.543013754610613e-05,0.002926656874330458,0.22047601057801283,0.8166259168704157,0.004003498709741992,0.7156549009421965,0.4223343921606379,0.5959960113523051
1664,1.0,2.2582098853082724e-05,0.010327597769178649,0.007797154931254093,0.010644965628790942,0.0007358894511483067,1.282781301460993e-05,0.06638437371943723,2.1307041580350014e-05,0.012557014589108418,0.19962221382697393,0.861952228700395,0.002606625790364623,0.2885183125693955,0.1967569640734609,0.5938482779780625
1665,1.0,1.482057438294021e-05,0.008598447660505082,0.0020534491994524135,0.010152504188088498,0.0003029064486830154,1.1629884950988769e-05,0.10469881163775441,0.00012689409252589657,0.0050250146332843715,0.26384586324140535,0.8153093849915366,0.004351629032328252,0.40685950821381345,0.7424368579271713,0.6270614405154561
1666,1.0,0.000289037409675932,0.015227403005469313,0.005287383687478921,0.03328808272196869,0.00018580511223562993,5.640244632882965e-06,0.025679551973774074,5.562886188130481e-07,0.0024738533579246134,0.16584812995844353,0.8608237728042129,0.0025935709032676385,0.797497169385094,0.8505972822889605,0.45355526578200506
1667,1.0,0.00041029456909411744,0.03747747532284188,0.007628514175743508,0.03712957079313731,0.00014590631893084209,5.390676286295223e-06,0.022674498019396257,3.489363750190219e-07,0.0017007741835731718,0.16584812995844353,0.8608237728042129,0.0025935709032676385,0.797497169385094,0.8505972822889605,0.45355526578200506
1668,1.0,4.96285170771886e-05,0.012712459274717314,0.009443882308592742,0.016311882617988563,0.0005072012456208641,1.1779625958941414e-05,0.03988526157628739,2.9723533097170088e-06,0.002584293239974819,0.1196826596146581,0.8640210645100621,0.0022976601290693173,0.9323880878213132,0.47999213637176164,0.6678683746260644
1669,1.0,0.00025304286921775326,0.0362356616674582,0.007846755153463088,0.029684882444688355,0.0005353574672375763,9.832992855557026e-06,0.022674498019396257,3.525901590506347e-07,0.0018001700774183573,0.1196826596146581,0.8640210645100621,0.0022976601290693173,0.9323880878213132,0.47999213637176164,0.6678683746260644
1670,1.0,5.756577375018181e-05,0.04163153852283982,0.00946372239747634,0.014369476055687135,0.00024795640326975474,8.135928098760384e-06,0.0379729545144106,2.458083207267508e-06,0.0011596187615271626,0.1196826596146581,0.8640210645100621,0.0022976601290693173,0.9323880878213132,0.47999213637176164,0.6678683746260644
1671,1.0,8.054655169927404e-05,0.012314347251649023,0.0071424319980953515,0.01925509791462076,0.0007776047748799792,9.683251847604383e-06,0.031416473159404455,1.1957008243452871e-06,0.003445724319966426,0.11439365319229317,0.8779386872296407,0.00189295862906279,0.8791080499212556,0.562438394862903,0.6786070414972771
1672,1.0,0.00024863686255654105,0.03176350825540126,0.003680336487907466,0.038747039454682,0.00037517840923835473,9.832992855557026e-06,0.03175795656331102,1.2450269087720599e-06,0.002661601157409964,0.19372874952776728,0.8384427308632688,0.0032637217742461895,0.15728067078714142,0.5620240187138106,0.6530643552964639
1673,1.0,9.192285998772333e-05,0.01170176139053316,0.000902724044203718,0.01322280630812778,0.0004319449850785,1.187945329757651e-05,0.050402950416609756,7.308481509233493e-06,0.0021425337117739955,0.2157159047978844,0.8185066766973857,0.0037336977097376404,0.9291084157519385,0.47006557486695033,0.6441666027460305
1674,1.0,4.520160715981888e-05,0.009691386280118796,0.0038787373767434482,0.02459418866616602,3.925003243804334e-05,4.8416259238021915e-06,0.08099986340663844,4.651632450646249e-05,0.002849348956895314,0.26936154136758594,0.7899191273274403,0.005326393935569781,0.47480798462047885,0.8536725498138195,0.3990181790289177
1675,1.0,2.872524584218753e-05,0.009694085971496774,0.003283534710235502,0.015531309571948473,0.0001336447385493707,5.141107939707482e-06,0.062218276191777076,1.657630470541935e-05,0.003015008779970623,0.18753305629013978,0.8489749858943013,0.002911239822627601,0.3510561531806242,0.1470386161131149,0.5479788294853111
1676,1.0,5.72553696311745e-05,0.012665943222453947,0.00044640199988095947,0.017293917162497834,0.0001778253535746724,6.938000035139222e-06,0.054978828028957795,1.0236075964563244e-05,0.0023634134758744076,0.2027200604457877,0.8316719954861765,0.0034725999677979458,0.41070393139943034,0.5242123537523471,0.5990642018869372
1677,0.0,5.7592264921272724e-06,0.008376888057142127,0.00981092395293931,0.014203396684189245,6.591410406124303e-05,1.7170302245236637e-05,0.1923234530801803,0.0014130854456441142,0.0022529735938242013,0.2503966754816774,0.6973857438405114,0.009965230484031699,0.914410710790725,0.6742451389648171,0.4939019713124185
1678,1.0,0.00011387211936663197,0.009388295997140758,0.00021824097771958018,0.041671480561492696,6.351368885428831e-05,7.137654712409416e-06,0.06187679278787051,1.6189917044076297e-05,0.002584293239974819,0.2370230449565546,0.7481662591687042,0.006161906709776805,0.6344025344749703,0.6770677195332155,0.46567461839380236
1679,0.0,0.00022178289747092387,0.012172816855710115,0.006765470309306986,0.017792155276991507,0.00028519527702089014,1.1180661927130832e-05,0.04022674498019396,3.0773996006258762e-06,0.0023081935348493047,0.2370986021911598,0.8130524731991725,0.00406006988716226,0.4811770968042861,0.3081720497385909,0.5709135537316868
1680,1.0,6.744118246033086e-06,0.009121514714092933,0.002192329821637601,0.010841372537692795,0.00015232905151161283,4.492230238579353e-06,0.07847288621772981,4.0919640816039595e-05,0.0023965454404894695,0.1386475255005667,0.8657137483543352,0.002389044338748211,0.765990001847447,0.4792218917013655,0.6770729462299608
1681,1.0,4.754129879888967e-05,0.010402655106618348,0.002787532488145547,0.01853734619606031,0.0001048397560659141,5.839899310153158e-06,0.06658926376178118,2.1576508152681457e-05,0.0028051730040752313,0.2511522478277295,0.8314839195034794,0.0037946205161902362,0.5495974947914853,0.47656417319044675,0.5289560481705914
1682,1.0,7.317095677201108e-05,0.010017871422901089,0.0029264131103307342,0.016579053780832995,0.00027948618139353833,8.934546807841158e-06,0.053817784455675456,9.435897261640043e-06,0.0020873137707488926,0.2376275028333963,0.8427684784652999,0.0034377869355393196,0.6423918192942776,0.8788626853262427,0.6283654214926747
1683,1.0,0.0006236634333992444,0.04103515080999185,0.0001289605777433883,0.04155594708566808,0.0004641884001557026,1.2328676321434445e-05,0.025133178527523562,5.15183548457404e-07,0.0022861055584392632,0.20128447298828864,0.8168139928531126,0.0037685107419962666,0.6729752643583975,0.5770730436004299,0.6247602976144818
1684,1.0,0.00039298664791787344,0.04227662423029777,0.005773465865127075,0.06718993703425567,0.00044913714804722976,1.4874273456629413e-05,0.03558257068706461,1.9237172926441363e-06,0.0038322639071421472,0.2612769172648281,0.8098551814933233,0.004395145322651535,0.06721452859972854,0.7290685630076067,0.6127943545294163
1685,1.0,0.00015039052011881317,0.02129522195020875,0.00946372239747634,0.026969845762809773,0.0002489295445698715,1.2478417329387092e-05,0.048558940035514274,6.346622862911425e-06,0.002518029310744696,0.27381941820929356,0.8264058679706602,0.004047015000065274,0.3443088635286928,0.8170132059076963,0.546444734217995
1686,1.0,0.00020466667056865198,0.01601643034006951,0.0045334603099021886,0.07232395586621224,0.000164850136239782,1.557306482707509e-05,0.05292992760551837,8.850378370574093e-06,0.004329243376368074,0.2151114469210427,0.7240925333834869,0.008176710951744786,0.5499953356587983,0.5590937511124856,0.4511774181176652
1687,1.0,0.0004819389066355345,0.013766108139262977,0.006269468087217031,0.04895008953844377,0.0005131698455949137,1.2079107974846704e-05,0.024518508400491735,4.6859780205434094e-07,0.002495941334334655,0.18065734794106536,0.8337408312958436,0.0032463152581168764,0.2979114726331219,0.7517500411996502,0.6531410600598299
1688,1.0,0.00011253967307972855,0.012706904567251933,0.00017856079995238376,0.017009415978279707,0.000613014142986895,7.536964066949803e-06,0.024996585165960934,5.033087503546625e-07,0.003015008779970623,0.08794862108046846,0.884333270641339,0.001805926048416225,0.632041097418882,0.719039581425516,0.6678683746260644
1689,1.0,1.9161622152304052e-05,0.17276537858664712,0.007420193242465727,0.007641095257350817,0.000397755287401064,6.68843168855148e-06,0.04521240267722989,4.812033569634051e-06,0.002981876815355561,0.08794862108046846,0.884333270641339,0.001805926048416225,0.632041097418882,0.719039581425516,0.6678683746260644
1690,0.0,0.0009200181984951416,0.030582360733308958,0.012588536396643056,0.02619432730633701,0.003534903334630855,0.00013416794312557002,0.015708236579702228,9.134460079031988e-08,0.009243818127602239,0.1466565923687193,0.8632687605792739,0.0024630220322977912,0.34523990261587384,0.16583612698795036,0.6120273068957582
1691,1.0,7.209409541425109e-05,0.008631442326992856,0.005991706842846656,0.03323031598405638,0.0005176462955754509,1.592246051229793e-05,0.06187679278787051,1.61917439360921e-05,0.011993771190652367,0.25205893464299206,0.8119240173029905,0.0043559806613605815,0.4804010784688542,0.5039377473763738,0.5612487535475953
1692,1.0,4.910657492596704e-05,0.011580852198873209,0.0020961053905521497,0.016651262203223386,7.914882574283119e-05,4.092920884038966e-06,0.054842234667395164,1.0155692715867764e-05,0.0002981876815355561,0.19267094824329428,0.8375023509497838,0.0031462277903733264,0.3510561531806242,0.1470386161131149,0.5479788294853111
1693,1.0,0.0002286751525723442,0.02022467227799546,0.002797452532587346,0.04784530067587084,0.0002007914882574283,9.13420148511135e-06,0.042275645403633384,3.723205928213438e-06,0.002926656874330458,0.27109935776350585,0.823960880195599,0.004208025274261421,0.3255234579779441,0.5159662683854034,0.5745186776098795
1694,1.0,0.00025384683835983073,0.016975449474505803,0.002291530266055592,0.033381953671076194,0.00022181134033995067,7.137654712409416e-06,0.031484769840185764,1.2030083924085127e-06,0.0022529735938242013,0.2055912353607858,0.8508557457212713,0.0031244696452116852,0.47996025249633695,0.9090556037584232,0.5761294776405615
1695,0.0,2.1032767650384222e-05,0.009219850047984111,0.007092831775886356,0.030486395933221656,6.695212144803425e-05,1.0931093580543092e-05,0.1275099030187133,0.0002772016331263679,0.002860392945100334,0.2680015111446921,0.7242806093661839,0.008611873854977612,0.4703434784278808,0.12144476527748667,0.49351844749558954
1696,1.0,0.00011496877771179746,0.01001403268365404,0.008322917286669444,0.032183293859395765,0.0001897625535227715,9.283942493063995e-06,0.052178664116923915,8.363511648361689e-06,0.0023634134758744076,0.26256139025311676,0.8213278164378408,0.003899059612966114,0.6750531826354806,0.27006099325011046,0.5950755541919154
1697,1.0,0.00021880350209892342,0.029108609565048755,0.00914628097533877,0.045166368205187456,0.00044706111327364736,1.3027467691880123e-05,0.03565086736784592,1.926457630667846e-06,0.002628469192794902,0.2315829240649792,0.8485988339289073,0.003172337564567296,0.5687706808657753,0.5124729441882285,0.6667178031755773
